ticker,event_ticker,series_ticker,league,title,subtitle,yes_sub_title,no_sub_title,market_type,status,result,label_kind,label_usable,result_binary,settlement_value,last_price,yes_bid,yes_ask,no_bid,no_ask,implied_prob_close,odds_multiplier_yes,odds_multiplier_no,edge_yes,edge_no,volume,open_interest,spread,notional_value,open_time,close_time,expiration_time,settlement_ts,created_time,strike_type,floor_strike,cap_strike,functional_strike,can_close_early,rules_primary
KXNCAABBGAME-26MAR241400TOLBUB-TOL,KXNCAABBGAME-26MAR241400TOLBUB,,NCAA,Toledo vs Butler winner?,,Toledo,Toledo,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,1221.0,1221.0,0.01,1.0,2026-03-24T12:05:00Z,2026-03-24T20:45:27Z,2026-03-26T18:00:00Z,2026-03-24T20:51:30.783584Z,2026-03-24T12:01:15.198618Z,structured,,,,True,"If Toledo wins the Toledo vs Butler College Baseball game originally scheduled for Mar 24, 2026 at 2:00 PM EDT, then the market resolves to Yes."
KXNCAABBGAME-26MAR241400TOLBUB-BUB,KXNCAABBGAME-26MAR241400TOLBUB,,NCAA,Toledo vs Butler winner?,,Butler,Butler,binary,finalized,yes,binary,True,1.0,1.0,0.98,0.99,1.0,0.0,0.01,0.98,1.0204081632653061,49.99999999999996,0.020408163265306145,-1.0,1410.0,1410.0,0.010000000000000009,1.0,2026-03-24T12:05:00Z,2026-03-24T20:45:27Z,2026-03-26T18:00:00Z,2026-03-24T20:51:30.783584Z,2026-03-24T12:01:15.198618Z,structured,,,,True,"If Butler wins the Toledo vs Butler College Baseball game originally scheduled for Mar 24, 2026 at 2:00 PM EDT, then the market resolves to Yes."
KXNCAABBGAME-26MAR241300NSSVCU-VCU,KXNCAABBGAME-26MAR241300NSSVCU,,NCAA,Norfolk State vs VCU winner?,,VCU,VCU,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,2054.0,1798.0,0.01,1.0,2026-03-24T11:05:00Z,2026-03-24T20:19:53Z,2026-03-26T17:00:00Z,2026-03-24T20:26:00.787842Z,2026-03-24T11:00:56.077194Z,structured,,,,True,"If VCU wins the Norfolk State vs VCU College Baseball game originally scheduled for Mar 24, 2026 at 1:00 PM EDT, then the market resolves to Yes."
KXNCAABBGAME-26MAR241300NSSVCU-NSS,KXNCAABBGAME-26MAR241300NSSVCU,,NCAA,Norfolk State vs VCU winner?,,Norfolk State,Norfolk State,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,3960.0,3041.0,0.010000000000000009,1.0,2026-03-24T11:05:00Z,2026-03-24T20:19:53Z,2026-03-26T17:00:00Z,2026-03-24T20:26:00.787842Z,2026-03-24T11:00:56.077194Z,structured,,,,True,"If Norfolk State wins the Norfolk State vs VCU College Baseball game originally scheduled for Mar 24, 2026 at 1:00 PM EDT, then the market resolves to Yes."
KXNBASTL-26MAR23INDORL-ORLJSUGGS4-3,KXNBASTL-26MAR23INDORL,,NBA,Jalen Suggs: 3+ steals,,Jalen Suggs: 3+,Jalen Suggs: 3+,binary,finalized,scalar,scalar,False,,0.26,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-23T05:11:00Z,2026-03-24T13:07:07Z,2026-04-06T23:00:00Z,2026-03-24T13:13:00.790065Z,2026-03-23T05:01:30.262705Z,structured,2.5,,,True,"If Jalen Suggs records 3+ Steals in the Indiana at Orlando professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBASTL-26MAR23INDORL-ORLJSUGGS4-2,KXNBASTL-26MAR23INDORL,,NBA,Jalen Suggs: 2+ steals,,Jalen Suggs: 2+,Jalen Suggs: 2+,binary,finalized,scalar,scalar,False,,0.52,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-23T05:11:00Z,2026-03-24T13:07:07Z,2026-04-06T23:00:00Z,2026-03-24T13:13:00.78991Z,2026-03-23T05:01:30.262705Z,structured,1.5,,,True,"If Jalen Suggs records 2+ Steals in the Indiana at Orlando professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNBASTL-26MAR23INDORL-ORLJSUGGS4-1,KXNBASTL-26MAR23INDORL,,NBA,Jalen Suggs: 1+ steals,,Jalen Suggs: 1+,Jalen Suggs: 1+,binary,finalized,scalar,scalar,False,,0.84,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,1.0,2026-03-23T05:11:00Z,2026-03-24T13:07:07Z,2026-04-06T23:00:00Z,2026-03-24T13:13:00.789554Z,2026-03-23T05:01:30.262705Z,structured,0.5,,,True,"If Jalen Suggs records 1+ Steals in the Indiana at Orlando professional basketball game originally scheduled for Mar 23, 2026, then the market resolves to Yes."
KXNCAABBGAME-26MAR232105ARSUNL-UNL,KXNCAABBGAME-26MAR232105ARSUNL,,NCAA,Arizona State vs UNLV winner?,,UNLV,UNLV,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,0.01,0.99,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,24923.0,24466.0,0.01,1.0,2026-03-23T19:20:00Z,2026-03-24T08:54:38Z,2026-03-26T01:05:00Z,2026-03-24T09:00:40.790797Z,2026-03-23T19:15:53.62041Z,structured,,,,True,"If UNLV wins the Arizona State vs UNLV College Baseball game originally scheduled for Mar 23, 2026 at 9:05 PM EDT, then the market resolves to Yes."
KXNCAABBGAME-26MAR232105ARSUNL-ARS,KXNCAABBGAME-26MAR232105ARSUNL,,NCAA,Arizona State vs UNLV winner?,,Arizona State,Arizona State,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.99,1.0,0.0,0.01,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,1959.0,1706.0,0.010000000000000009,1.0,2026-03-23T19:20:00Z,2026-03-24T08:54:38Z,2026-03-26T01:05:00Z,2026-03-24T09:00:40.790797Z,2026-03-23T19:15:53.62041Z,structured,,,,True,"If Arizona State wins the Arizona State vs UNLV College Baseball game originally scheduled for Mar 23, 2026 at 9:05 PM EDT, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-AIRB,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Airball / Airballs / Airballed,Airball / Airballs / Airballed,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,10449.0,7662.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T14:54:20.791548Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Airball / Airballs / Airballed as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-ALLE,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Alley-oop,Alley-oop,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,9590.0,7226.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T14:52:40.78901Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Alley-oop as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-DRAF,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Draft / Drafted,Draft / Drafted,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,7535.0,6314.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.820542Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Draft / Drafted as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-JORD,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Jordan,Jordan,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,5175.0,4293.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.818827Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Jordan as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-BUZZ,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Buzzer,Buzzer,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,35544.0,29535.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.81677Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Buzzer as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-ELBO,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Elbow,Elbow,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,7771.0,7454.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.810987Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Elbow as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-ANKL,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Ankle,Ankle,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,11592.0,11184.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.810399Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Ankle as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-TRIP,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Triple Double,Triple Double,binary,finalized,yes,binary,True,1.0,1.0,0.98,0.0,1.0,0.0,1.0,0.98,1.0204081632653061,49.99999999999996,0.020408163265306145,-1.0,2721.0,2425.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.807701Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Triple Double as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-TECH,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Tech / Technical,Tech / Technical,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,27291.0,25501.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.807002Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Tech / Technical as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-MVP,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,MVP,MVP,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,3714.0,2904.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.80357Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says MVP as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-RETI,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Retire / Retired / Retirement,Retire / Retired / Retirement,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,18736.0,15505.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.802009Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Retire / Retired / Retirement as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-NQE,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Event does not qualify,Event does not qualify,binary,finalized,no,binary,True,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.01,100.0,1.0101010101010102,-1.0,0.010101010101010166,2605.0,2087.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.799863Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If a qualifying event does not occur, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-ROOK,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Rookie,Rookie,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,3016.0,2371.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.799237Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Rookie as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-AMAA,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,American Airlines,American Airlines,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,4273.0,4005.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.797496Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says American Airlines as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
KXNBAMENTION-26MAR24GSWDAL-TRAD,KXNBAMENTION-26MAR24GSWDAL,,NBA,What will the announcers say during Golden State vs Dallas Professional Basketball Game?,,Trade / Trades / Traded,Trade / Trades / Traded,binary,finalized,yes,binary,True,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.99,1.0101010101010102,99.99999999999991,0.010101010101010166,-1.0,3166.0,2569.0,1.0,1.0,2026-03-21T19:11:00Z,2026-03-24T06:30:00Z,2026-03-24T06:30:00Z,2026-03-24T07:26:00.795638Z,2026-03-21T19:01:30.914352Z,custom,,,,True,"If the play by play or color commentator(s) says Trade / Trades / Traded as part of Golden State vs Dallas Professional Basketball Game, then the market resolves to Yes."
